study_hours,attendance,previous_marks,participation,internet_access,parental_education,passed
3.365660495705318,83.37574548798933,57.305828792528125,2,0,0,0
1.7520190725114053,94.07481861313717,62.95164144985436,4,0,0,1
3.9005414349677485,80.90584906901745,72.30792713126128,0,0,0,1
4.1286776596694565,86.43938793276858,54.093882416631416,8,0,2,1
0.6587577736153962,59.49827898968977,67.81750883598168,7,1,0,0
1.4373845917652184,79.51281598069882,56.01241812126931,0,0,1,0
3.1534084838007423,71.56769729707129,58.23686749007805,2,1,4,0
2.6205088891877013,67.81186939576372,72.4427856303611,6,0,4,1
2.9798386109948534,71.21847633071249,30.10409443418766,5,0,4,0
1.976347286911704,76.65876559299188,40.552915078878584,8,1,1,0
4.055277569835394,89.15902542356014,37.76721903835769,2,1,3,0
3.933350322514738,66.73607282260436,24.995758202275425,10,0,3,0
3.0792368370734593,80.30631492594418,49.82603339767235,4,0,0,0
4.352689448361639,75.15830566666422,71.24150849591611,9,0,2,1
3.5610112107024547,76.72326905638039,55.726739004261375,2,1,2,0
1.9688490445401141,90.02757825304604,62.96685122912778,0,0,1,0
3.4425009408989986,85.38115437003925,76.33826245066189,0,1,3,1
1.8493408790052013,93.37398107442743,79.91529198401537,4,0,3,1
4.054140361568727,78.45494320750099,58.96293097910791,10,1,2,1
2.9400889068164964,73.04057388329296,80.30378834354096,0,0,3,1
2.7781651637456872,77.761411831195,61.38189987651164,4,1,3,0
2.1828845467152704,82.42496791271222,47.43902664258807,1,1,2,0
4.467049606408836,81.76573358453712,51.08399471701897,10,0,1,1
2.8145646215174374,69.15611927766633,37.79195231152475,7,0,3,0
2.486006613404271,80.90489781627875,46.677992193995216,8,1,3,0
2.5774397394141246,82.28228330138906,54.62974967888356,7,0,4,0
3.6387710226640184,100.0,72.05377529067903,7,0,0,1
3.438532877236894,98.7684461128167,85.81154746748976,8,0,2,1
3.495279133915186,71.4675664944118,39.267277269344405,0,0,4,0
3.516985203609459,77.12616638450824,65.89241202389879,9,0,2,1
5.569977121044554,65.36557998162996,44.39184091263698,8,0,4,0
2.5123019803384614,74.09292986036513,67.12045632694803,8,0,0,1
2.385308725114155,83.1560500359034,58.0337002396841,4,0,0,0
2.023472726102547,92.05853620888233,32.536412612287045,8,0,3,0
3.7391753070905946,72.70916162256391,73.92445487352727,4,0,1,1
4.354766751265069,73.45853559932203,50.92498930786903,0,1,2,0
2.86326305081415,58.52710970261345,51.99149642439668,9,0,2,0
1.9918122276449663,78.37334079455093,43.95371383065465,2,0,2,0
2.0106225411705125,69.37585588140436,50.18575084968667,1,0,4,0
3.7807113453896415,74.70560572633926,66.41835661042376,6,1,0,1
3.891905005444131,71.23139221832412,57.16133488595392,2,0,3,0
3.651785121966234,79.05737445747442,64.92993003423722,9,0,4,1
2.201388351253567,62.42271608643369,65.42882780893265,4,0,3,0
3.2785935876800636,65.3295475460901,79.8099248329225,0,0,1,0
3.140022970968874,100.0,54.85820773703431,10,0,0,1
3.2624263160748157,67.1257741872597,37.84713274731402,5,0,3,0
4.0457145335378275,69.0321442154536,76.00833624857975,2,1,2,1
3.2683146585296186,98.36913528321314,55.02767741854118,7,1,0,1
3.814696275686274,100.0,76.71888666866066,5,0,1,1
3.08109488338667,68.28433371174658,65.75065669773706,0,1,4,0
3.346943278427981,76.31751043211969,58.032937046949826,8,1,1,1
3.7575458710062484,83.4155555094051,65.23163841069443,4,0,0,1
1.2514130161732002,97.28697644405592,89.26518840189449,7,0,3,1
2.6163945403712385,70.13142921571763,91.1547079358063,9,0,0,1
2.4355528148486454,77.5472215405789,61.04071702699168,6,1,4,0
2.23334658210799,87.77337576061744,62.402858899756126,7,0,4,1
2.6698292985279797,84.34766074466619,76.14360236199579,2,1,4,1
4.793929573481275,76.23843928769901,47.31508450848979,2,0,4,0
1.9610026611681082,78.66177035483959,64.99605558927382,4,1,1,0
4.161934025509777,66.25104191630018,59.612057280692156,9,1,1,1
0.9805562740610343,77.61826256025334,64.70862317186331,5,0,1,0
2.59813796401707,77.33612509991045,47.49946791075891,3,0,2,0
3.195303678126007,82.32169889626256,36.156487600365466,8,1,4,0
3.7034667976311337,74.44672781180984,28.905248460130622,9,0,3,0
3.853471895751426,84.71538522545139,43.23923830515588,9,0,3,0
3.9520166822399103,90.12715817819829,53.119870725910005,3,1,4,0
2.5815299133018748,81.55429327668466,55.60212620026857,7,0,3,0
2.4451778488025195,83.51756408399203,89.05846743644275,6,0,1,1
4.029571057508584,80.53155347577868,76.58990054860948,4,0,2,1
2.770434810142062,80.00084393091414,45.56863325487559,4,0,2,0
1.469176411994494,72.78441966457153,65.21562678676436,1,1,0,0
1.6400553431958234,83.16494261673309,53.893826454745124,3,1,3,0
1.8966572567980664,79.0271340158651,55.73454242939857,6,0,3,0
3.5965928928645168,100.0,62.77988474123073,9,0,3,1
3.1709108832846784,95.73354902475242,69.2875667546309,9,1,2,1
3.828582424881322,83.85846552556501,54.91112274173977,2,0,3,0
2.487296824396159,72.36942790305233,75.95777299101537,7,0,4,1
3.190247629292057,68.87588528016582,42.870926607863936,0,0,2,0
3.750708472760804,91.91142953088865,60.09508593543403,7,0,2,1
2.628784152335714,82.62749225147138,98.96510589893748,3,1,0,1
3.548130285068894,84.80143403391611,63.346196139379124,4,0,3,1
2.2056888707200186,62.55414013025808,81.49821759909258,7,0,4,1
2.5643353841219136,89.27438481558181,61.37280267259812,4,1,3,1
2.541914527202005,84.54420338214364,68.71165642994696,8,0,4,1
1.5649924252931524,68.89569315585521,59.14825208410963,5,1,4,0
3.584366976942698,75.28475192550052,57.44388628253694,10,0,3,1
2.436717191756731,82.6371720435652,48.3077640491187,7,0,2,0
3.014992942473225,80.52466798356244,66.45452038436329,3,0,0,1
3.576895990687091,77.07828814196445,47.22694216221348,8,1,0,0
3.5358374112359328,78.9651173193404,69.98377854470144,4,1,1,1
3.7984621307673434,77.48022621793115,76.27930506668865,5,0,2,1
2.8818174185886916,81.52562512102469,65.49797110855845,1,0,3,0
2.4920420255470157,94.71491972993157,55.70626899666462,1,0,2,0
2.904338146912321,54.333415590687025,66.80948368963044,6,1,0,0
0.9751986792503642,77.63149735490316,55.36990416680381,2,0,1,0
1.2634650330922954,81.76512421372448,74.03320688197724,10,1,4,1
1.4127604651747172,82.95993989687099,32.52890873677315,9,1,4,0
1.803303806878222,76.2808541867871,54.965889478220305,7,1,1,0
3.4797290720681238,62.43278217521417,30.137820073140034,8,0,4,0
1.913425133567927,83.27995483714109,37.574087546591926,6,0,3,0
2.5462049351527325,97.27350214164184,80.45793344720863,0,0,4,1
4.559073957343278,64.66138595083862,73.42777472957529,4,1,4,1
2.5724832347262887,88.63828013698188,49.20779650072814,5,1,3,0
3.8850186821605037,76.71474776877106,37.46244815938655,10,1,1,0
1.8796587839881476,79.38675654171152,15.532067432375229,2,0,3,0
2.753474930558844,69.47101489296051,51.84756738101048,5,0,1,0
1.8599735341073025,76.65543827644123,96.30622518371104,3,1,1,1
2.593160308919325,93.00044594698959,66.52326407195471,1,1,3,1
4.008369764948874,85.82655241987707,51.60641570925766,1,1,2,0
0.9272154921691818,97.32311605409944,66.97620314250459,4,1,2,1
3.521308372255029,91.77411888977693,36.58562470508336,0,0,1,0
3.2852827227987333,84.39086678929576,55.540149559535465,0,0,2,0
2.2870200531638467,97.43934526167791,61.492162095236075,3,0,0,1
1.2647305747338546,84.38993158738299,58.708490222684276,2,1,3,0
3.0865554092566434,88.2798817679706,71.86209182535121,6,1,2,1
2.364608749123437,77.03429046465291,65.16967839354079,0,0,4,0
3.2792114536256447,80.66545815859205,70.02489027161995,3,1,2,1
3.0262225746281315,73.02576176699723,49.67441576653861,4,1,2,0
4.922134669585098,89.89583934594853,73.46723112615823,10,1,0,1
2.712773247032371,68.21696376885134,84.43405421435988,6,1,0,1
1.7718030088537622,87.82350342417661,45.44775720522881,9,0,1,0
3.2151307619475795,78.0934894249484,46.6845651642816,3,0,1,0
3.2639960207661183,91.71247093467319,80.03676504480349,4,1,1,1
4.6310250902885235,87.5086898873126,57.1298401995741,4,1,1,1
4.002133495097494,98.20646157646802,81.05732088099836,9,0,3,1
3.4282452709794113,87.30774691138645,53.36196432161724,10,0,0,1
4.755963469463474,64.2795974434676,81.82568364406066,10,1,1,1
1.5734843348125789,79.33046827101799,61.972287252081784,8,1,0,1
2.232298160700303,68.27992807405184,63.87343234984043,5,0,1,0
1.8881088703133702,74.81720157633725,83.47077032504856,5,1,3,1
2.5322282362130784,95.11228433276722,54.57344283833743,10,0,0,1
1.3479766229324295,86.37533810897696,45.88316856112563,3,0,1,0
3.762181136177285,73.01069571421253,53.27153687957468,3,1,0,0
2.733332763481472,69.86282633559601,66.78500925964708,9,0,4,1
1.2350324465968106,80.3278209287626,36.51361391729229,4,1,3,0
